# NU_CSN_MSN;NU_CSN_FSI;NU_PTN_STN;NU_MSN_GPe;NU_MSN_GPi;NU_STN_GPe;NU_STN_GPi;NU_STN_MSN;NU_STN_FSI;NU_GPe_STN;NU_GPe_GPi;NU_GPe_MSN;NU_GPe_FSI;NU_GPe_GPe;NU_FSI_MSN;NU_FSI_FSI;NU_MSN_MSN;NU_CMPf_MSN;NU_CMPf_FSI;NU_CMPf_STN;NU_CMPf_GPe;NU_CMPf_GPi;NU_PTN_MSN;NU_PTN_FSI;DIST_CSN_MSN;DIST_CSN_FSI;DIST_PTN_STN;DIST_MSN_GPe;DIST_MSN_GPi;DIST_STN_GPe;DIST_STN_GPi;DIST_STN_MSN;DIST_STN_FSI;DIST_GPe_STN;DIST_GPe_GPi;DIST_GPe_MSN;DIST_GPe_FSI;DIST_GPe_GPe;DIST_FSI_MSN;DIST_FSI_FSI;DIST_MSN_MSN;DIST_CMPf_MSN;DIST_CMPf_FSI;DIST_CMPf_STN;DIST_CMPf_GPe;DIST_CMPf_GPi;DIST_PTN_MSN;DIST_PTN_FSI;THETA_MSN;THETA_FSI;THETA_STN;THETA_GPe;THETA_GPi;FSI_MAX
2.816499999999999773e+02 ; 4.618799999999999955e+02 ; 2.587900000000000205e+02 ; 2.027400000000000091e+02 ; 2.874200000000000159e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 5.607000000000000028e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 5.730000000000000426e+00 ; 4.248000000000000114e+02 ; 3.747999999999999687e+01 ; 4.689510000000000218e+03 ; 2.603000000000000114e+01 ; 6.265700000000000500e+02 ; 4.916189999999999600e+03 ; 1.066759999999999991e+03 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.308000000000000114e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 9.499999999999999556e-01 ; 8.100000000000000533e-01 ; 9.200000000000000400e-01 ; 5.699999999999999512e-01 ; 5.799999999999999600e-01 ; 3.099999999999999978e-01 ; 5.799999999999999600e-01 ; 1.700000000000000122e-01 ; 3.699999999999999956e-01 ; 5.999999999999999778e-01 ; 8.999999999999999667e-02 ; 8.999999999999999667e-02 ; 6.099999999999999867e-01 ; 0.000000000000000000e+00 ; 1.600000000000000033e-01 ; 1.000000000000000056e-01 ; 6.600000000000000311e-01 ; 2.999999999999999889e-01 ; 0.000000000000000000e+00 ; 5.400000000000000355e-01 ; 0.000000000000000000e+00 ; 5.899999999999999689e-01 ; 9.699999999999999734e-01 ; 6.400000000000000133e-01 ; 2.848000000000000043e+01 ; 1.612000000000000099e+01 ; 2.573000000000000043e+01 ; 1.088000000000000078e+01 ; 5.000000000000000000e+00 ; 2.276999999999999886e+02
3.176200000000000045e+02 ; 2.894900000000000091e+02 ; 2.615199999999999818e+02 ; 1.710300000000000011e+02 ; 1.669799999999999898e+02 ; 2.917500000000000000e+02 ; 1.596899999999999977e+02 ; 9.595999999999999375e+01 ; 0.000000000000000000e+00 ; 1.937999999999999901e+01 ; 1.621999999999999886e+01 ; 1.503999999999999915e+01 ; 3.850600000000000023e+02 ; 3.750999999999999801e+01 ; 2.995010000000000218e+03 ; 6.389999999999999858e+01 ; 4.610600000000000023e+02 ; 1.999559999999999945e+03 ; 7.033799999999999955e+02 ; 5.777000000000000313e+01 ; 4.589999999999999858e+01 ; 1.394699999999999989e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 9.300000000000000488e-01 ; 9.399999999999999467e-01 ; 7.399999999999999911e-01 ; 5.899999999999999689e-01 ; 5.500000000000000444e-01 ; 3.400000000000000244e-01 ; 4.500000000000000111e-01 ; 0.000000000000000000e+00 ; 2.399999999999999911e-01 ; 2.800000000000000266e-01 ; 0.000000000000000000e+00 ; 2.600000000000000089e-01 ; 3.099999999999999978e-01 ; 0.000000000000000000e+00 ; 7.000000000000000666e-02 ; 5.500000000000000444e-01 ; 8.299999999999999600e-01 ; 5.899999999999999689e-01 ; 5.000000000000000278e-02 ; 4.699999999999999734e-01 ; 3.900000000000000133e-01 ; 5.999999999999999778e-01 ; 7.600000000000000089e-01 ; 1.000000000000000000e+00 ; 2.873999999999999844e+01 ; 1.172000000000000064e+01 ; 2.455999999999999872e+01 ; 6.870000000000000107e+00 ; 5.000000000000000000e+00 ; 2.000000000000000000e+02
3.176200000000000045e+02 ; 4.894800000000000182e+02 ; 2.615199999999999818e+02 ; 1.710300000000000011e+02 ; 2.089799999999999898e+02 ; 2.917500000000000000e+02 ; 1.654300000000000068e+02 ; 1.086200000000000045e+02 ; 0.000000000000000000e+00 ; 1.937999999999999901e+01 ; 1.621999999999999886e+01 ; 9.262000000000000455e+01 ; 4.827300000000000182e+02 ; 3.750999999999999801e+01 ; 2.172329999999999927e+03 ; 1.399199999999999875e+02 ; 5.085699999999999932e+02 ; 2.227739999999999782e+03 ; 7.555000000000000000e+02 ; 5.777000000000000313e+01 ; 4.589999999999999858e+01 ; 1.394699999999999989e+02 ; 5.410000000000000142e+00 ; 5.000000000000000000e+00 ; 9.699999999999999734e-01 ; 9.000000000000000222e-01 ; 7.500000000000000000e-01 ; 5.500000000000000444e-01 ; 2.999999999999999889e-01 ; 5.300000000000000266e-01 ; 5.300000000000000266e-01 ; 2.000000000000000042e-02 ; 2.800000000000000266e-01 ; 3.599999999999999867e-01 ; 1.499999999999999944e-01 ; 1.300000000000000044e-01 ; 2.200000000000000011e-01 ; 1.000000000000000021e-02 ; 5.000000000000000278e-02 ; 5.100000000000000089e-01 ; 8.800000000000000044e-01 ; 5.500000000000000444e-01 ; 1.700000000000000122e-01 ; 2.700000000000000178e-01 ; 4.099999999999999756e-01 ; 3.900000000000000133e-01 ; 8.100000000000000533e-01 ; 9.499999999999999556e-01 ; 2.991000000000000014e+01 ; 1.178999999999999915e+01 ; 2.503999999999999915e+01 ; 8.490000000000000213e+00 ; 5.000000000000000000e+00 ; 2.000000000000000000e+02
3.330699999999999932e+02 ; 2.623399999999999750e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 3.736999999999999886e+02 ; 2.330200000000000102e+02 ; 4.309000000000000341e+01 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 2.300300000000000011e+02 ; 3.747999999999999687e+01 ; 4.927920000000000073e+03 ; 1.156599999999999966e+02 ; 2.097800000000000011e+02 ; 4.916189999999999600e+03 ; 1.123609999999999900e+03 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.394000000000000057e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 1.000000000000000000e+00 ; 8.000000000000000444e-01 ; 8.800000000000000044e-01 ; 5.899999999999999689e-01 ; 5.699999999999999512e-01 ; 2.399999999999999911e-01 ; 5.699999999999999512e-01 ; 3.800000000000000044e-01 ; 4.299999999999999933e-01 ; 5.799999999999999600e-01 ; 0.000000000000000000e+00 ; 0.000000000000000000e+00 ; 5.699999999999999512e-01 ; 0.000000000000000000e+00 ; 1.799999999999999933e-01 ; 1.600000000000000033e-01 ; 7.099999999999999645e-01 ; 2.700000000000000178e-01 ; 0.000000000000000000e+00 ; 4.699999999999999734e-01 ; 0.000000000000000000e+00 ; 7.500000000000000000e-01 ; 9.799999999999999822e-01 ; 6.700000000000000400e-01 ; 2.919000000000000128e+01 ; 1.683999999999999986e+01 ; 2.605999999999999872e+01 ; 1.100999999999999979e+01 ; 5.219999999999999751e+00 ; 2.280699999999999932e+02
3.330699999999999932e+02 ; 3.791700000000000159e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 3.736999999999999886e+02 ; 2.330200000000000102e+02 ; 4.309000000000000341e+01 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 2.300300000000000011e+02 ; 3.747999999999999687e+01 ; 4.927920000000000073e+03 ; 1.156599999999999966e+02 ; 2.097800000000000011e+02 ; 4.665539999999999964e+03 ; 1.028900000000000091e+03 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.394000000000000057e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 1.000000000000000000e+00 ; 8.000000000000000444e-01 ; 8.800000000000000044e-01 ; 5.899999999999999689e-01 ; 5.699999999999999512e-01 ; 2.399999999999999911e-01 ; 5.699999999999999512e-01 ; 2.099999999999999922e-01 ; 4.299999999999999933e-01 ; 5.600000000000000533e-01 ; 0.000000000000000000e+00 ; 0.000000000000000000e+00 ; 6.099999999999999867e-01 ; 0.000000000000000000e+00 ; 1.799999999999999933e-01 ; 1.199999999999999956e-01 ; 7.099999999999999645e-01 ; 3.599999999999999867e-01 ; 2.999999999999999889e-02 ; 4.199999999999999845e-01 ; 1.000000000000000021e-02 ; 6.400000000000000133e-01 ; 1.000000000000000000e+00 ; 6.300000000000000044e-01 ; 2.894999999999999929e+01 ; 1.723000000000000043e+01 ; 2.467000000000000171e+01 ; 1.091999999999999993e+01 ; 5.190000000000000391e+00 ; 2.303799999999999955e+02
3.413299999999999841e+02 ; 2.500999999999999943e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.059799999999999898e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 5.713700000000000045e+02 ; 3.747999999999999687e+01 ; 3.393269999999999982e+03 ; 3.932000000000000028e+01 ; 2.097800000000000011e+02 ; 4.979569999999999709e+03 ; 1.172200000000000045e+03 ; 5.775999999999999801e+01 ; 3.289999999999999858e+01 ; 1.308000000000000114e+02 ; 9.349999999999999645e+00 ; 5.278999999999999915e+01 ; 9.499999999999999556e-01 ; 8.199999999999999512e-01 ; 9.499999999999999556e-01 ; 5.500000000000000444e-01 ; 4.799999999999999822e-01 ; 3.300000000000000155e-01 ; 5.400000000000000355e-01 ; 1.400000000000000133e-01 ; 2.999999999999999889e-01 ; 5.000000000000000000e-01 ; 0.000000000000000000e+00 ; 0.000000000000000000e+00 ; 4.899999999999999911e-01 ; 0.000000000000000000e+00 ; 1.499999999999999944e-01 ; 2.000000000000000111e-01 ; 7.600000000000000089e-01 ; 4.400000000000000022e-01 ; 0.000000000000000000e+00 ; 4.299999999999999933e-01 ; 4.000000000000000083e-02 ; 4.600000000000000200e-01 ; 9.599999999999999645e-01 ; 8.299999999999999600e-01 ; 2.957999999999999829e+01 ; 1.637000000000000099e+01 ; 2.546000000000000085e+01 ; 8.869999999999999218e+00 ; 5.169999999999999929e+00 ; 2.094900000000000091e+02
3.413299999999999841e+02 ; 2.500999999999999943e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.059799999999999898e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 5.713700000000000045e+02 ; 3.747999999999999687e+01 ; 3.393269999999999982e+03 ; 1.241200000000000045e+02 ; 3.534399999999999977e+02 ; 4.443539999999999964e+03 ; 1.037920000000000073e+03 ; 5.775999999999999801e+01 ; 3.289999999999999858e+01 ; 1.308000000000000114e+02 ; 9.349999999999999645e+00 ; 5.278999999999999915e+01 ; 9.699999999999999734e-01 ; 8.199999999999999512e-01 ; 9.100000000000000311e-01 ; 4.899999999999999911e-01 ; 4.799999999999999822e-01 ; 3.800000000000000044e-01 ; 5.400000000000000355e-01 ; 1.400000000000000133e-01 ; 2.999999999999999889e-01 ; 5.000000000000000000e-01 ; 5.000000000000000278e-02 ; 0.000000000000000000e+00 ; 4.899999999999999911e-01 ; 0.000000000000000000e+00 ; 1.499999999999999944e-01 ; 2.000000000000000111e-01 ; 7.600000000000000089e-01 ; 4.400000000000000022e-01 ; 0.000000000000000000e+00 ; 4.600000000000000200e-01 ; 4.000000000000000083e-02 ; 3.699999999999999956e-01 ; 1.000000000000000000e+00 ; 8.499999999999999778e-01 ; 2.996000000000000085e+01 ; 1.637000000000000099e+01 ; 2.546000000000000085e+01 ; 8.869999999999999218e+00 ; 5.849999999999999645e+00 ; 2.094900000000000091e+02
3.413299999999999841e+02 ; 2.904300000000000068e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.059799999999999898e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 5.713700000000000045e+02 ; 3.747999999999999687e+01 ; 3.393269999999999982e+03 ; 1.241200000000000045e+02 ; 3.534399999999999977e+02 ; 4.580609999999999673e+03 ; 1.372819999999999936e+03 ; 5.775999999999999801e+01 ; 3.155999999999999872e+01 ; 1.394499999999999886e+02 ; 9.349999999999999645e+00 ; 5.000000000000000000e+00 ; 9.599999999999999645e-01 ; 8.199999999999999512e-01 ; 8.399999999999999689e-01 ; 5.100000000000000089e-01 ; 4.899999999999999911e-01 ; 4.299999999999999933e-01 ; 4.500000000000000111e-01 ; 1.600000000000000033e-01 ; 2.600000000000000089e-01 ; 2.800000000000000266e-01 ; 1.000000000000000056e-01 ; 2.000000000000000042e-02 ; 3.599999999999999867e-01 ; 0.000000000000000000e+00 ; 1.199999999999999956e-01 ; 3.200000000000000067e-01 ; 8.299999999999999600e-01 ; 4.199999999999999845e-01 ; 0.000000000000000000e+00 ; 4.500000000000000111e-01 ; 2.000000000000000042e-02 ; 4.299999999999999933e-01 ; 9.899999999999999911e-01 ; 8.299999999999999600e-01 ; 3.000000000000000000e+01 ; 1.637000000000000099e+01 ; 2.542999999999999972e+01 ; 9.199999999999999289e+00 ; 5.849999999999999645e+00 ; 2.094900000000000091e+02
3.413299999999999841e+02 ; 2.904300000000000068e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.059799999999999898e+02 ; 4.533199999999999932e+02 ; 2.383799999999999955e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 5.713700000000000045e+02 ; 3.747999999999999687e+01 ; 3.537719999999999800e+03 ; 1.204699999999999989e+02 ; 3.534399999999999977e+02 ; 4.202380000000000109e+03 ; 1.037920000000000073e+03 ; 5.775999999999999801e+01 ; 1.424499999999999886e+02 ; 1.394499999999999886e+02 ; 9.349999999999999645e+00 ; 5.000000000000000000e+00 ; 9.599999999999999645e-01 ; 9.200000000000000400e-01 ; 8.399999999999999689e-01 ; 5.100000000000000089e-01 ; 4.899999999999999911e-01 ; 4.899999999999999911e-01 ; 5.400000000000000355e-01 ; 1.600000000000000033e-01 ; 2.600000000000000089e-01 ; 2.899999999999999800e-01 ; 1.000000000000000056e-01 ; 0.000000000000000000e+00 ; 3.599999999999999867e-01 ; 0.000000000000000000e+00 ; 1.600000000000000033e-01 ; 3.900000000000000133e-01 ; 8.000000000000000444e-01 ; 4.600000000000000200e-01 ; 0.000000000000000000e+00 ; 4.799999999999999822e-01 ; 1.799999999999999933e-01 ; 4.299999999999999933e-01 ; 1.000000000000000000e+00 ; 9.100000000000000311e-01 ; 3.000000000000000000e+01 ; 1.958999999999999986e+01 ; 2.567000000000000171e+01 ; 9.730000000000000426e+00 ; 5.849999999999999645e+00 ; 2.094900000000000091e+02
3.420500000000000114e+02 ; 2.500999999999999943e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 3.529700000000000273e+02 ; 3.747999999999999687e+01 ; 4.362050000000000182e+03 ; 1.156599999999999966e+02 ; 2.097800000000000011e+02 ; 4.965399999999999636e+03 ; 1.053210000000000036e+03 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.308000000000000114e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 9.499999999999999556e-01 ; 8.199999999999999512e-01 ; 9.699999999999999734e-01 ; 4.799999999999999822e-01 ; 5.899999999999999689e-01 ; 2.999999999999999889e-01 ; 5.899999999999999689e-01 ; 1.600000000000000033e-01 ; 4.099999999999999756e-01 ; 5.799999999999999600e-01 ; 1.300000000000000044e-01 ; 5.999999999999999778e-02 ; 5.799999999999999600e-01 ; 1.000000000000000021e-02 ; 1.900000000000000022e-01 ; 1.600000000000000033e-01 ; 7.700000000000000178e-01 ; 2.700000000000000178e-01 ; 5.999999999999999778e-02 ; 4.600000000000000200e-01 ; 0.000000000000000000e+00 ; 4.799999999999999822e-01 ; 9.799999999999999822e-01 ; 6.999999999999999556e-01 ; 3.000000000000000000e+01 ; 1.623000000000000043e+01 ; 2.605999999999999872e+01 ; 1.046000000000000085e+01 ; 6.200000000000000178e+00 ; 2.170600000000000023e+02
3.420500000000000114e+02 ; 2.500999999999999943e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 7.321999999999999886e+01 ; 1.775300000000000011e+02 ; 3.747999999999999687e+01 ; 4.927920000000000073e+03 ; 3.353000000000000114e+01 ; 5.711499999999999773e+02 ; 4.934350000000000364e+03 ; 8.917300000000000182e+02 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.394000000000000057e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 9.599999999999999645e-01 ; 8.199999999999999512e-01 ; 8.800000000000000044e-01 ; 5.899999999999999689e-01 ; 5.899999999999999689e-01 ; 2.999999999999999889e-01 ; 5.000000000000000000e-01 ; 1.700000000000000122e-01 ; 4.099999999999999756e-01 ; 5.200000000000000178e-01 ; 0.000000000000000000e+00 ; 1.400000000000000133e-01 ; 5.699999999999999512e-01 ; 0.000000000000000000e+00 ; 1.900000000000000022e-01 ; 7.000000000000000666e-02 ; 6.400000000000000133e-01 ; 2.700000000000000178e-01 ; 0.000000000000000000e+00 ; 4.600000000000000200e-01 ; 0.000000000000000000e+00 ; 5.000000000000000000e-01 ; 9.799999999999999822e-01 ; 6.700000000000000400e-01 ; 2.908999999999999986e+01 ; 1.623000000000000043e+01 ; 2.605999999999999872e+01 ; 1.088000000000000078e+01 ; 5.339999999999999858e+00 ; 2.094900000000000091e+02
3.420500000000000114e+02 ; 2.524499999999999886e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 4.278700000000000045e+02 ; 2.166100000000000136e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 2.347100000000000080e+02 ; 3.747999999999999687e+01 ; 4.362050000000000182e+03 ; 1.156599999999999966e+02 ; 2.097800000000000011e+02 ; 4.921210000000000036e+03 ; 1.108759999999999991e+03 ; 7.615000000000000568e+01 ; 7.921999999999999886e+01 ; 1.308000000000000114e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 1.000000000000000000e+00 ; 8.000000000000000444e-01 ; 9.399999999999999467e-01 ; 5.999999999999999778e-01 ; 5.899999999999999689e-01 ; 3.300000000000000155e-01 ; 5.899999999999999689e-01 ; 5.999999999999999778e-02 ; 4.099999999999999756e-01 ; 5.200000000000000178e-01 ; 1.300000000000000044e-01 ; 5.999999999999999778e-02 ; 7.199999999999999734e-01 ; 1.000000000000000021e-02 ; 1.900000000000000022e-01 ; 1.600000000000000033e-01 ; 7.299999999999999822e-01 ; 3.099999999999999978e-01 ; 0.000000000000000000e+00 ; 4.600000000000000200e-01 ; 0.000000000000000000e+00 ; 4.899999999999999911e-01 ; 9.699999999999999734e-01 ; 6.800000000000000488e-01 ; 2.998000000000000043e+01 ; 1.721999999999999886e+01 ; 2.605999999999999872e+01 ; 1.083000000000000007e+01 ; 6.200000000000000178e+00 ; 2.245099999999999909e+02
3.420500000000000114e+02 ; 4.475500000000000114e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.101299999999999955e+02 ; 4.278700000000000045e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 3.265500000000000114e+02 ; 0.000000000000000000e+00 ; 3.747999999999999687e+01 ; 4.780510000000000218e+03 ; 3.353000000000000114e+01 ; 2.988500000000000227e+02 ; 4.934350000000000364e+03 ; 7.971699999999999591e+02 ; 7.615000000000000568e+01 ; 8.920000000000000284e+01 ; 1.394000000000000057e+02 ; 5.000000000000000000e+00 ; 5.000000000000000000e+00 ; 9.899999999999999911e-01 ; 8.000000000000000444e-01 ; 8.900000000000000133e-01 ; 5.899999999999999689e-01 ; 5.899999999999999689e-01 ; 2.300000000000000100e-01 ; 4.799999999999999822e-01 ; 2.700000000000000178e-01 ; 3.599999999999999867e-01 ; 5.799999999999999600e-01 ; 0.000000000000000000e+00 ; 2.399999999999999911e-01 ; 6.800000000000000488e-01 ; 0.000000000000000000e+00 ; 1.700000000000000122e-01 ; 5.999999999999999778e-02 ; 6.899999999999999467e-01 ; 2.600000000000000089e-01 ; 0.000000000000000000e+00 ; 4.799999999999999822e-01 ; 4.000000000000000083e-02 ; 4.600000000000000200e-01 ; 1.000000000000000000e+00 ; 6.700000000000000400e-01 ; 2.960999999999999943e+01 ; 2.023000000000000043e+01 ; 2.605999999999999872e+01 ; 1.061999999999999922e+01 ; 5.660000000000000142e+00 ; 2.528199999999999932e+02
3.548999999999999773e+02 ; 2.702200000000000273e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 1.919300000000000068e+02 ; 4.533199999999999932e+02 ; 2.330200000000000102e+02 ; 0.000000000000000000e+00 ; 9.106000000000000227e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 6.350299999999999727e+02 ; 3.747999999999999687e+01 ; 3.031400000000000091e+03 ; 1.204699999999999989e+02 ; 3.478199999999999932e+02 ; 3.651780000000000200e+03 ; 1.105630000000000109e+03 ; 5.775999999999999801e+01 ; 3.155999999999999872e+01 ; 1.394499999999999886e+02 ; 5.530000000000000249e+00 ; 5.000000000000000000e+00 ; 8.800000000000000044e-01 ; 9.300000000000000488e-01 ; 8.399999999999999689e-01 ; 5.000000000000000000e-01 ; 4.899999999999999911e-01 ; 4.899999999999999911e-01 ; 5.400000000000000355e-01 ; 1.000000000000000056e-01 ; 1.799999999999999933e-01 ; 2.899999999999999800e-01 ; 1.400000000000000133e-01 ; 0.000000000000000000e+00 ; 2.800000000000000266e-01 ; 0.000000000000000000e+00 ; 5.999999999999999778e-02 ; 3.900000000000000133e-01 ; 8.399999999999999689e-01 ; 3.400000000000000244e-01 ; 0.000000000000000000e+00 ; 3.599999999999999867e-01 ; 1.799999999999999933e-01 ; 4.299999999999999933e-01 ; 1.000000000000000000e+00 ; 8.499999999999999778e-01 ; 3.000000000000000000e+01 ; 1.399000000000000021e+01 ; 2.567000000000000171e+01 ; 9.169999999999999929e+00 ; 5.849999999999999645e+00 ; 2.051599999999999966e+02
3.548999999999999773e+02 ; 2.702200000000000273e+02 ; 2.587900000000000205e+02 ; 1.714000000000000057e+02 ; 2.095500000000000114e+02 ; 4.533199999999999932e+02 ; 2.330200000000000102e+02 ; 3.959999999999999964e+00 ; 5.395000000000000284e+01 ; 1.903999999999999915e+01 ; 1.623000000000000043e+01 ; 0.000000000000000000e+00 ; 6.350299999999999727e+02 ; 3.747999999999999687e+01 ; 2.699000000000000000e+03 ; 1.241500000000000057e+02 ; 4.853500000000000227e+02 ; 2.747670000000000073e+03 ; 8.054700000000000273e+02 ; 5.775999999999999801e+01 ; 6.400000000000000000e+01 ; 1.394499999999999886e+02 ; 5.410000000000000142e+00 ; 5.040000000000000036e+00 ; 8.000000000000000444e-01 ; 9.599999999999999645e-01 ; 7.900000000000000355e-01 ; 4.899999999999999911e-01 ; 5.100000000000000089e-01 ; 5.300000000000000266e-01 ; 5.400000000000000355e-01 ; 1.100000000000000006e-01 ; 1.600000000000000033e-01 ; 3.200000000000000067e-01 ; 8.999999999999999667e-02 ; 2.999999999999999889e-02 ; 2.800000000000000266e-01 ; 0.000000000000000000e+00 ; 0.000000000000000000e+00 ; 3.900000000000000133e-01 ; 8.800000000000000044e-01 ; 3.599999999999999867e-01 ; 1.400000000000000133e-01 ; 2.999999999999999889e-01 ; 4.099999999999999756e-01 ; 4.000000000000000222e-01 ; 8.000000000000000444e-01 ; 1.000000000000000000e+00 ; 3.000000000000000000e+01 ; 1.166999999999999993e+01 ; 2.560000000000000142e+01 ; 7.980000000000000426e+00 ; 6.269999999999999574e+00 ; 2.000000000000000000e+02
